route_id,origin_zh,origin_en,destination_zh,destination_en,operator_zh,operator_en,fare_slow_weekday,fare_fast_weekday,fare_slow_holiday,fare_fast_holiday,seat_type_normal,seat_type_normal_en,seat_type_premium,seat_type_premium_en,holiday_pricing_mode,route_type_zh,route_type_en,duration_slow,duration_fast,origin_pier_zh,origin_pier_en,destination_pier_zh,destination_pier_en,origin_map_url,destination_map_url
north-point-hung-hom,北角,North Point,紅磡,Hung Hom,新渡輪,Sun Ferry,10,0,10,0,普通位,Standard Fare,,,sun_ph,港內線,Inner Harbour,10,10,北角（西）渡輪碼頭(北角海濱花園),North Point (West) Ferry Pier (near North Point Promenade),紅磡（北）渡輪碼頭(華信街),Hung Hom (North) Ferry Pier at Wa Shun Street,https://maps.app.goo.gl/cvB55zXwT5Gv3HyAA,https://maps.app.goo.gl/4Nx6654J6VyN6BNt5
north-point-kowloon-city,北角,North Point,九龍城,Kowloon City,新渡輪,Sun Ferry,10,0,10,0,普通位,Standard Fare,,,sun_ph,港內線,Inner Harbour,15,15,北角（西）渡輪碼頭(北角海濱花園),North Point (West) Ferry Pier (near North Point Promenade),九龍城渡輪碼頭(新碼頭街),Kowloon City Ferry Pier at San Ma Tau Street,https://maps.app.goo.gl/cvB55zXwT5Gv3HyAA,https://maps.app.goo.gl/ANpndrfnfUdT9zGc6
north-point-kwun-tong,北角,North Point,觀塘,Kwun Tong,富裕小輪,Fortune Ferry,8.3,0,8.3,0,普通位,Standard Fare,,,sun_ph,港內線,Inner Harbour,15,15,北角（東）渡輪碼頭(北角海濱花園),North Point (East) Ferry Pier (near North Point Promenade),觀塘渡輪碼頭(榮業街),Kwun Tong Ferry Pier at Wing Yip Street,https://maps.app.goo.gl/KcbA3tVMC9QafYKC9,https://maps.app.goo.gl/jpYpdufU4U2ksztK6
kwun-tong-kai-tak,觀塘,Kwun Tong,啟德,Kai Tak,富裕小輪,Fortune Ferry,8.3,0,8.3,0,普通位,Standard Fare,,,sun_ph,港內線,Inner Harbour,25,25,觀塘渡輪碼頭(榮業街),Kwun Tong Ferry Pier at Wing Yip Street,啟德承豐道跑道公園碼頭一號梯台,Runway Park Pier Landing No.1 at Kai Tak Shing Fung Road,https://maps.app.goo.gl/jpYpdufU4U2ksztK6,https://maps.app.goo.gl/LtC2sF81zDCdzCbF6
central-hung-hom,中環,Central,紅磡,Hung Hom,富裕小輪,Fortune Ferry,10.7,0,10.7,0,普通位,Standard Fare,,,sun_ph,港內線,Inner Harbour,20,20,中環八號碼頭(西面泊位）,Central Pier No. 8 (Western Berth),紅磡（南）渡輪碼頭,Hung Hom (South) Ferry Pier,https://maps.app.goo.gl/2NR5jzEtj6t4BHw66,https://maps.app.goo.gl/yrJqs8J1ZVoxpBdd7
central-tsim-sha-tsui,中環,Central,尖沙咀,Tsim Sha Tsui,天星小輪,Star Ferry,4,5,5.6,6.5,下層,Lower Deck,上層,Upper Deck,sat_sun_ph,港內線,Inner Harbour,10,10,中環七號碼頭(民光街),Central Pier No.7 at Man Kwong Street,梳士巴利道天星渡輪碼頭,Star Ferry Pier at Salisbury Road,https://maps.app.goo.gl/waco9r8anbQCJm4m6,https://maps.app.goo.gl/7WbDRDaRL3ZLx4cA6
wan-chai-tsim-sha-tsui,灣仔,Wan Chai,尖沙咀,Tsim Sha Tsui,天星小輪,Star Ferry,5,0,6.5,0,普通位,Standard Fare,,,sat_sun_ph,港內線,Inner Harbour,10,10,灣仔渡輪碼頭(鴻興道),Wan Chai Ferry Pier at Hung Hing Road,梳士巴利道天星渡輪碼頭,Star Ferry Pier at Salisbury Road,https://maps.app.goo.gl/xxbCYGZ8k8EjFucJ7,https://maps.app.goo.gl/7WbDRDaRL3ZLx4cA6
sai-wan-ho-sam-ka-tsuen,西灣河,Sai Wan Ho,三家村,Sam Ka Tsuen,珊瑚海船務,Coral Sea Ferry Service,9,0,9,0,普通位,Standard Fare,,,sat_sun_ph,港內線,Inner Harbour,10,10,西灣河碼頭(太康街),Sai Wan Ho Pier at Tai Hong Street,三家村碼頭(崇信街),Sam Ka Tsuen Ferry Pier at Shung Shun Street,https://maps.app.goo.gl/J2MzcfbjhcXPBYPJA,https://maps.app.goo.gl/x7L7BjUT6Bd6gjPN7
sai-wan-ho-kwun-tong,西灣河,Sai Wan Ho,觀塘,Kwun Tong,珊瑚海船務,Coral Sea Ferry Service,9,0,9,0,普通位,Standard Fare,,,sat_sun_ph,港內線,Inner Harbour,15,15,西灣河碼頭(太康街),Sai Wan Ho Pier at Tai Hong Street,觀塘渡輪碼頭(榮業街),Kwun Tong Ferry Pier at Wing Yip Street,https://maps.app.goo.gl/J2MzcfbjhcXPBYPJA,https://maps.app.goo.gl/jpYpdufU4U2ksztK6
central-cheung-chau,中環,Central,長洲,Cheung Chau,新渡輪,Sun Ferry,14.8,29.2,22,42.3,普通渡輪,Ordinary Ferry,高速船,Fast Ferry,sun_ph,港外線,Outlying Islands,60,40,中環五號碼頭(民光街),Central Pier No. 5 at Man Kwong Street,長洲渡輪碼頭(新興海傍街),Cheung Chau Ferry Pier at San Hing Praya Street,https://maps.app.goo.gl/sn6upYpJ7hVgG6VW6,https://maps.app.goo.gl/sPrms9Zdp7YyvcUx7
central-mui-wo,中環,Central,梅窩,Mui Wo,新渡輪,Sun Ferry,28.6,41.9,34.1,48.9,普通渡輪,Ordinary Ferry,高速船,Fast Ferry,sun_ph,港外線,Outlying Islands,60,40,中環六號碼頭(民光街) (東面泊位）,Central Pier No. 6 at Man Kwong Street(Eastern Berth),大嶼山梅窩渡輪碼頭(梅窩碼頭路),"Mui Wo Ferry Pier at Mui Wo Ferry Pier Road, Lantau",https://maps.app.goo.gl/yMgNnEhXe2nbdTp29,https://maps.app.goo.gl/bRaBrzkFiQL8FVw66
central-ping-chau,中環,Central,坪洲,Ping Chau,港九小輪,HKKF,19.8,28.4,36.9,54.3,普通渡輪,Ordinary Ferry,高速船,Fast Ferry,sun_ph,港外線,Outlying Islands,40,30,中環六號碼頭(民光街) (西面泊位）,Central Pier No. 6 at Man Kwong Street(Western Berth),坪洲渡輪碼頭(露坪街),Peng Chau Ferry Pier at Lo Peng Street,https://maps.app.goo.gl/yMgNnEhXe2nbdTp29,https://maps.app.goo.gl/GBGQWChXqwAPMgHf9
ping-chau-hei-ling-chau,坪洲,Ping Chau,喜靈洲,Hei Ling Chau,港九小輪,HKKF,18.7,0,18.7,0,普通渡輪,Ordinary Ferry,,,sun_ph,港外線,Outlying Islands,15,15,坪洲渡輪碼頭(露坪街),Peng Chau Ferry Pier at Lo Peng Street,喜靈洲公眾碼頭,Hei Ling Chau Public Pier at Hei Ling Chau,https://maps.app.goo.gl/GBGQWChXqwAPMgHf9,https://maps.app.goo.gl/UCU3q4u9sDJhp4dS8
central-yung-shue-wan,中環,Central,榕樹灣(南丫島),Yung Shue Wan(Lamma Island),港九小輪,HKKF,22.1,0,30.8,0,普通渡輪,Ordinary Ferry,,,sun_ph,港外線,Outlying Islands,30,30,中環四號碼頭(民光街),Central Pier No. 4 at Man Kwong Street,南丫島榕樹灣渡輪碼頭,Yung Shue Wan Ferry Pier at Lamma Island,https://maps.app.goo.gl/gY5JAbuw7mB7v78e9,https://maps.app.goo.gl/8hR2sXM39Ks9u3NT8
central-sok-kwu-wan,中環,Central,索罟灣(南丫島),Sok Kwu Wan(Lamma Island),港九小輪,HKKF,27.5,0,38.7,0,普通渡輪,Ordinary Ferry,,,sun_ph,港外線,Outlying Islands,40,40,中環四號碼頭(民光街),Central Pier No. 4 at Man Kwong Street,南丫島索罟灣二號碼頭,Sok Kwu Wan Pier No. 2 at Lamma Island,https://maps.app.goo.gl/gY5JAbuw7mB7v78e9,https://maps.app.goo.gl/VRhDRBwcBts1MAUm7
central-discovery-bay,中環,Central,愉景灣,Discovery Bay,愉景灣航運服務,Discovery Bay Transportation Services,55.8,0,55.8,0,普通渡輪,Ordinary Ferry,,,sun_ph,港外線,Outlying Islands,30,30,中環三號碼頭(民光街),Central Pier No. 3 at Man Kwong Street,大嶼山愉景灣渡輪碼頭(愉景灣廣場徑),"Discovery Bay Ferry Pier at Plaza Lane, Discovery Bay, Lantau Island",https://maps.app.goo.gl/X1uNcAFisib1FKSZ9,https://maps.app.goo.gl/qfZjoV2CYN9qEkvH8
central-ma-wan,中環,Central,馬灣,Ma Wan,珀麗灣客運,Park Island Transport ,36,0,36,0,普通渡輪,Ordinary Ferry,,,sun_ph,港外線,Outlying Islands,25,25,中環二號碼頭(民光街),Central Pier No. 2 at Man Kwong Street,珀麗灣渡輪碼頭(珀麗路),Park Island Ferry Pier at Pak Lai Road,https://maps.app.goo.gl/ZYc4x1wgS14uAXdX8,https://maps.app.goo.gl/MZhxNXPuDJz1tt1F8
